id,article_id,canonical_topic,keywords,intent,audience,prerequisites,complexity,enriched_at,llm_model
1,1677,Email Security,"{""confidential information"",""email security"",""sensitive data""}",overview,general,{},beginner,2026-02-02 10:53:45.870728,llama3.1:8b
2,2198,Top Hat at IU,"{""Top Hat"",""LTI 1.3"",""IU School of Medicine"",""Indiana University classes""}",overview,unknown,{},intermediate,2026-02-02 10:54:26.949609,llama3.1:8b
3,2304,Vulnerability Scanning,"{""vulnerability scanners"",QualysGuard,""web application security""}",overview,unknown,{},intermediate,2026-02-02 10:54:38.082448,llama3.1:8b
4,2131,Software Requests,"{""software requests"",IUanyWare,STCs,licensing,media}",how-to,faculty,"{""understanding of software licensing and media requirements""}",intermediate,2026-02-02 10:54:50.807445,llama3.1:8b
5,2401,Microsoft 365,"{""Microsoft 365"",""Microsoft Teams"",OneDrive,""file management"",""access methods""}",overview,general,{},beginner,2026-02-02 10:55:03.874173,llama3.1:8b
6,2278,Endpoint Management,"{IU,""endpoint management services"",SCCM,""Global Standard"",ConfigMgr}",overview,faculty,{},intermediate,2026-02-02 10:55:43.878948,llama3.1:8b
7,2402,OneDrive File Management,"{""Microsoft OneDrive"",IU,""file management"",""folder management""}",overview,unknown,{},intermediate,2026-02-02 10:56:06.120068,llama3.1:8b
8,1650,IU Intelligent Infrastructure,"{""IU Intelligent Infrastructure"",UITS,""Enterprise Systems"",""remote access"",""high performance""}",overview,admin,{},unknown,2026-02-02 10:56:17.473371,llama3.1:8b
9,1625,RT Projects,"{Slate-Project,allocations,""RT Project"",collaborations}",overview,researcher,"{""understanding of RT Projects and their functionality""}",intermediate,2026-02-02 10:56:30.010682,llama3.1:8b
10,11628,IU Intelligent Infrastructure,"{""IU Intelligent Infrastructure"",""Storage and Virtualization"",""Virtual machines"",""Data Protection Services""}",overview,general,{},unknown,2026-02-02 10:56:41.157334,llama3.1:8b
11,1536,IU Research Storage,"{""allocated storage"",""short-term storage"",""research systems"",""Indiana University""}",overview,researcher,"{""understanding of IU research computing systems""}",intermediate,2026-02-02 10:56:45.11979,llama3.1:8b
12,1553,Lustre File Systems,"{Lustre,""High-Performance Storage"",""Scalable Parallel File System"",""Computing Clusters"",Supercomputers}",overview,unknown,{},intermediate,2026-02-02 10:57:11.844782,llama3.1:8b
13,1473,HIPAA Compliance,"{HIPAA,PHI,""UITS systems"",""Administrative safeguards"",""Physical safeguards"",""Technical safeguards""}",overview,researcher,"{""Understanding of HIPAA regulations"",""Familiarity with IU's IT systems and services""}",intermediate,2026-02-02 10:57:27.027792,llama3.1:8b
14,1661,IU Tools,"{FireForm,""IU tools"",""form-building tool"",""data collection"",""workflow management""}",overview,admin,{},intermediate,2026-02-02 10:57:38.319536,llama3.1:8b
15,1668,Data Encryption,"{HIPAA,PHI,""data encryption"",UITS,""Research Technologies""}",reference,researcher,"{HIPAA,PHI}",intermediate,2026-02-02 10:57:52.253621,llama3.1:8b
16,1644,IU REDCap,"{Redcap,""Research Electronic Data Capture""}",overview,researcher,{},intermediate,2026-02-02 10:58:02.148526,llama3.1:8b
17,1681,WebDB,"{WebDB,""Microsoft SQL Server"",""SQL Server account password""}",overview,unknown,"{""basic computer knowledge"","" familiarity with WebDB tool""}",intermediate,2026-02-02 10:58:14.597771,llama3.1:8b
18,1685,Secure Data Sharing,"{""Secure Share"",""data sharing"",""file sharing"",""web interface""}",overview,general,{},beginner,2026-02-02 10:58:25.497944,llama3.1:8b
19,1696,Online Safety,"{""online safety"",""social media"",passwords,""two-factor authentication"",phishing,catfishing,""security software""}",how-to,general,{},beginner,2026-02-02 10:58:40.442282,llama3.1:8b
20,1705,UITS Advanced Visualization Lab (AVL),"{UITS,""Advanced Visualization Lab"",""visual technologies"",research,education,""creative activity""}",overview,faculty,{},intermediate,2026-02-02 10:58:52.924946,llama3.1:8b
21,1709,Sensitive Data Management,"{""sensitive data"",""institutional data"",""protected health information"",""research data"",""data management standards""}",overview,faculty,"{""understanding of institutional data policies"",""awareness of protected health information regulations""}",intermediate,2026-02-02 10:58:53.931698,llama3.1:8b
22,1733,HIPAA Compliance,"{HIPAA,""HIPAA Privacy Rule"",""HIPAA Security Rule"",PHI,""Protected Health Information""}",reference,faculty,{},intermediate,2026-02-02 10:59:19.838054,llama3.1:8b
23,1870,IU Resources,"{Burrow,""Indiana University""}",reference,student,{},beginner,2026-02-02 10:59:28.793,llama3.1:8b
24,1879,IU Guest Accounts,"{""IU Guest Account"",""limited access"",""select applications""}",overview,student,{},beginner,2026-02-02 10:59:38.894618,llama3.1:8b
