id,url,title,content,number,display_number,snippet,score,can_read,crawled_at,updated_at,depth,sys_kb_id
1677,https://servicenow.iu.edu/kb?id=kb_article_view&sysparm_article=KB0023453,About confidential information in email,"Loading...
Loading...
AskIT","","","",0,Public,2026-01-31 14:33:38.978175,2026-01-31 14:46:23.594383,1,KB0023453
10515,https://servicenow.iu.edu/kb?id=kb_article_view&sys_kb_id=fedf643b476456583d373803846d4372,About the IU Cloud Storage Portal,[MINIMAL CONTENT: 0 chars],KB0023758,KB0023758 v1.0," for storing any type of institutional data. Personal (non-IU) <strong>OneDrive</strong> account: To select a personal (non-IU) <strong>OneDrive</strong> account: Choose <strong>OneDrive</strong> - Personal. Read the on-screen terms of use) <strong>OneDrive</strong> account. If prompted, select an option for confirming your identity. When prompted",98.3322,"",2026-01-31 16:49:34.923166,2026-01-31 16:49:34.923166,0,fedf643b476456583d373803846d4372
10516,https://servicenow.iu.edu/kb?id=kb_article_view&sys_kb_id=7cf2eb733b9ba6d4476d941864e45a88,Store and share your individual files at IU,[MINIMAL CONTENT: 0 chars],KB0024329,KB0024329 v4.0,".) in Microsoft <strong>OneDrive</strong> at IU and Google at IU My Drive. This would include information classified as Public Drive Microsoft <strong>OneDrive</strong> at IU Best for... Storing and sharing Public or University-Internal data accessibility concerns, and takes considerable time to master. 1 For more, see Screenreader support for <strong>OneDrive</strong>",86.4246,"",2026-01-31 16:49:37.475058,2026-01-31 16:49:37.475058,0,7cf2eb733b9ba6d4476d941864e45a88
10190,https://servicenow.iu.edu/kb?id=kb_article_view&sys_kb_id=KB0025535,Knowledge Article View,[BROKEN ARTICLE: Knowledge Article View - IUKB],"","","",0,Public,2026-01-31 16:28:39.904437,2026-01-31 16:28:39.904437,1,
10503,https://servicenow.iu.edu/kb?id=kb_article_view&sys_kb_id=5e207cff476456583d373803846d43a4,Resources for Microsoft Teams and OneDrive,[MINIMAL CONTENT: 0 chars],KB0025448,KB0025448 v1.0,Table of contents Microsoft <strong>OneDrive</strong> Microsoft Teams Microsoft <strong>OneDrive</strong> Microsoft <strong>OneDrive</strong> at IU Microsoft support resources: Create a document from <strong>OneDrive</strong> for work or school Upload and save files and folders to <strong>OneDrive</strong> Manage files and folders in <strong>OneDrive</strong> Accessibility Support for <strong>OneDrive</strong>,166.0894,"",2026-01-31 16:47:33.687864,2026-01-31 16:47:49.816902,0,5e207cff476456583d373803846d43a4
10508,https://servicenow.iu.edu/kb?id=kb_article_view&sys_kb_id=58ff2c7b476456583d373803846d4353,Use Microsoft OneDrive for Canvas at IU assignments,[MINIMAL CONTENT: 0 chars],KB0024231,KB0024231 v1.0,"Overview The <strong>OneDrive</strong> integration with Canvas includes a suite of tools developed by Microsoft that provides integration between <strong>OneDrive</strong> and learning management systems like Canvas. In Canvas at IU, <strong>OneDrive</strong> files can be used in several places: Assignments, Modules, Collaborations, and embedded",165.075,"",2026-01-31 16:48:39.03203,2026-01-31 16:48:39.03203,0,58ff2c7b476456583d373803846d4353
10509,https://servicenow.iu.edu/kb?id=kb_article_view&sys_kb_id=8ab3a566331ae2d004e605570e5c7bde,Lifecycle of OneDrive data when users leave the university,[MINIMAL CONTENT: 0 chars],KB0026729,KB0026729 v4.0,", their <strong>OneDrive</strong> data goes through several stages before it is permanently deleted. Following is a detailed 0-30) The user retains access to <strong>OneDrive</strong> for the first 30 days after their outtake has been processed. Note is able to access their <strong>OneDrive</strong>, you may check CCI Tools for the ""Cloud Sync Disabled"" status",158.5488,"km-aud-uits, km-aud-local-support",2026-01-31 16:48:44.437303,2026-01-31 16:48:44.437303,0,8ab3a566331ae2d004e605570e5c7bde
10510,https://servicenow.iu.edu/kb?id=kb_article_view&sys_kb_id=5e20bcff476456583d373803846d4314,Where students can store files at IU,[MINIMAL CONTENT: 0 chars],KB0025454,KB0025454 v1.0,"Indiana University students can use Microsoft <strong>OneDrive</strong> at IU and Google at IU My Drive to store with Microsoft <strong>OneDrive</strong> and/or Google My Drive. To help you make the best choice for your file storage needs, check out a side-by-side comparison of Microsoft <strong>OneDrive</strong> and Google My Drive at Store",149.8637,"",2026-01-31 16:48:49.032606,2026-01-31 16:48:49.032606,0,5e20bcff476456583d373803846d4314
10511,https://servicenow.iu.edu/kb?id=kb_article_view&sys_kb_id=56ffecbb476456583d373803846d4371,Use Broadcast to distribute files to students in your Canvas course,[MINIMAL CONTENT: 0 chars],KB0024422,KB0024422 v1.0,Table of contents Overview Add the Broadcast tool to your course Use Microsoft <strong>OneDrive</strong> at IU course. You have two options for distribution. You can copy a folder from your Microsoft <strong>OneDrive</strong> at IU account to the Microsoft <strong>OneDrive</strong> at IU accounts of all of your students; the folder,122.2353,"",2026-01-31 16:49:12.22763,2026-01-31 16:49:12.22763,0,56ffecbb476456583d373803846d4371
10512,https://servicenow.iu.edu/kb?id=kb_article_view&sys_kb_id=0620b34447e6729c2fc6a55b416d436b,About CarbonCopy at IU,[MINIMAL CONTENT: 0 chars],KB0025742,KB0025742 v8.0," is available to IU students, faculty, and staff. CarbonCopy is integrated with Microsoft <strong>OneDrive</strong> at IU. Audio and video files must be uploaded with your <strong>OneDrive</strong> account. For more about managing files and folders with Microsoft <strong>OneDrive</strong> at IU, see Files in <strong>OneDrive</strong>. To use CarbonCopy: Go to https",120.1343,"",2026-01-31 16:49:15.878851,2026-01-31 16:49:15.878851,0,0620b34447e6729c2fc6a55b416d436b
