source_id,target_id,created_at
2194,2188,2026-01-31 14:58:52.559002
1453,1527,2026-01-31 14:38:52.237406
2240,6224,2026-01-31 14:35:25.439728
4081,10334,2026-01-31 15:07:31.012078
11975,1422,2026-01-31 17:23:13.534748
1915,1473,2026-01-31 14:36:33.735167
9935,1834,2026-01-31 14:34:23.718904
2131,1676,2026-01-31 14:57:17.214397
2197,1506,2026-01-31 14:59:01.865154
9885,2716,2026-01-31 14:34:49.63491
10253,10253,2026-01-31 16:38:38.057404
11677,1819,2026-01-31 17:15:00.066248
1674,1473,2026-01-31 14:46:12.346915
10445,2098,2026-01-31 14:36:43.928778
1461,2026,2026-01-31 14:39:16.816053
11277,1422,2026-01-31 17:04:41.008547
1458,1422,2026-01-31 14:34:35.560715
9829,1934,2026-01-31 14:33:28.72474
2240,8110,2026-01-31 14:35:25.439728
10648,4546,2026-01-31 16:54:03.016133
1904,9829,2026-01-31 14:34:27.534734
10462,10445,2026-01-31 16:45:27.807218
10526,4621,2026-01-31 14:47:51.113263
4618,1647,2026-01-31 16:54:28.70314
9852,1446,2026-01-31 14:43:15.284525
9875,1661,2026-01-31 14:33:38.978175
11358,2426,2026-01-31 17:07:32.948703
10968,2304,2026-01-31 16:57:31.486827
1974,1536,2026-01-31 14:34:39.563109
7743,7741,2026-01-31 16:40:20.367008
1746,1461,2026-01-31 14:33:46.827539
2195,2188,2026-01-31 14:58:56.949664
12276,6272,2026-01-31 17:33:11.209644
11217,6454,2026-01-31 17:02:43.414316
9987,9935,2026-01-31 14:35:10.530814
3180,1819,2026-01-31 14:53:28.060759
10015,1422,2026-01-31 14:35:42.330727
12255,2124,2026-01-31 17:32:28.590203
9875,1564,2026-01-31 14:33:38.978175
1709,1473,2026-01-31 14:48:27.273685
11719,4083,2026-01-31 17:16:10.989156
10334,6272,2026-01-31 14:53:31.806128
10677,1580,2026-01-31 16:54:35.500547
1458,1431,2026-01-31 14:34:35.560715
11636,1422,2026-01-31 17:13:42.68058
11686,1422,2026-01-31 17:15:20.980306
11368,1422,2026-01-31 17:07:59.507577
2883,1668,2026-01-31 16:41:47.486916
11488,1656,2026-01-31 17:10:48.57013
12205,1696,2026-01-31 17:30:31.024878
1974,1934,2026-01-31 14:34:39.563109
2197,2192,2026-01-31 14:59:01.865154
1479,1438,2026-01-31 14:40:08.463857
10944,4083,2026-01-31 16:58:39.097382
1677,1702,2026-01-31 14:45:36.857513
10347,1676,2026-01-31 16:41:58.075479
12468,1879,2026-01-31 17:36:23.505787
9935,1467,2026-01-31 14:34:23.718904
9163,9166,2026-01-31 15:05:59.125389
1700,6272,2026-01-31 14:47:57.202731
1746,1915,2026-01-31 14:33:46.827539
1675,1685,2026-01-31 14:46:15.801597
