  id   |                       name                        |         normalized_name         | total_articles | indegree | outdegree | prerequisite_count |                                 intent_distribution                                 |                       complexity_distribution                       |                                    audience_distribution                                    |         created_at         |         updated_at         
-------+---------------------------------------------------+---------------------------------+----------------+----------+-----------+--------------------+-------------------------------------------------------------------------------------+---------------------------------------------------------------------+---------------------------------------------------------------------------------------------+----------------------------+----------------------------
 13218 | Accessibility                                     | Accessibility                   |             10 |        0 |         3 |                  0 | {"how-to": 1, "overview": 7, "reference": 2}                                        | {"unknown": 1, "beginner": 6, "intermediate": 3}                    | {"faculty": 1, "general": 1, "student": 1, "unknown": 7}                                    | 2026-02-02 20:55:34.828507 | 2026-02-02 20:55:35.303205
 13219 | Accessibility in Computing Labs                   | Accessibility In Computing Labs |              2 |        1 |         0 |                  0 | {"how-to": 1, "overview": 1}                                                        | {"beginner": 1, "intermediate": 1}                                  | {"student": 2}                                                                              | 2026-02-02 20:55:34.891147 | 2026-02-02 20:55:35.303489
 13220 | Accessibility Software                            | Accessibility Software          |              2 |        1 |         0 |                  0 | {"overview": 2}                                                                     | {"beginner": 2}                                                     | {"faculty": 1, "unknown": 1}                                                                | 2026-02-02 20:55:34.892206 | 2026-02-02 20:55:35.303764
 13221 | Accessing Google at IU My Drive                   | Google Drive                    |              4 |        0 |         0 |                  0 | {"overview": 3, "reference": 1}                                                     | {"intermediate": 4}                                                 | {"student": 2, "unknown": 1, "researcher": 1}                                               | 2026-02-02 20:55:34.893166 | 2026-02-02 20:55:35.304035
 13222 | Account Management                                | Account                         |              3 |        0 |         2 |                  1 | {"how-to": 2, "reference": 1}                                                       | {"beginner": 1, "intermediate": 2}                                  | {"admin": 2, "student": 1}                                                                  | 2026-02-02 20:55:34.893846 | 2026-02-02 20:55:35.304298
 13223 | Active Directory                                  | Active Directory                |              6 |        0 |         1 |                  1 | {"how-to": 1, "policy": 1, "overview": 2, "reference": 1, "troubleshooting": 1}     | {"intermediate": 6}                                                 | {"admin": 5, "unknown": 1}                                                                  | 2026-02-02 20:55:34.894457 | 2026-02-02 20:55:35.304536
 13224 | Active Directory Services (ADS)                   | Active Directory Services       |              3 |        1 |         0 |                  0 | {"overview": 2, "reference": 1}                                                     | {"beginner": 1, "intermediate": 2}                                  | {"admin": 2, "student": 1}                                                                  | 2026-02-02 20:55:34.894934 | 2026-02-02 20:55:35.304812
 13225 | Adobe Creative Cloud                              | Adobe Creative Cloud            |              3 |        0 |         0 |                  0 | {"how-to": 1, "overview": 2}                                                        | {"unknown": 1, "beginner": 1, "intermediate": 1}                    | {"general": 1, "student": 1, "unknown": 1}                                                  | 2026-02-02 20:55:34.895386 | 2026-02-02 20:55:35.305066
 13226 | AppKube                                           | Appkube                         |              3 |        0 |         0 |                  0 | {"how-to": 1, "overview": 2}                                                        | {"intermediate": 3}                                                 | {"unknown": 3}                                                                              | 2026-02-02 20:55:34.895852 | 2026-02-02 20:55:35.305305
