topic_id,article_id
13218,11268
13218,10981
13218,11270
13218,11050
13218,11471
13218,11312
13218,10420
13218,10742
13218,11262
13218,11454
13219,11313
13219,11357
13220,11288
13220,11281
13221,4961
13221,11674
13221,1771
13221,11663
13222,1883
13222,6454
13222,11711
13223,12163
13223,11368
13223,11314
13223,12116
13223,12119
13223,2426
13224,11365
13224,1884
13224,12117
13225,11729
13225,11732
13225,11209
13226,11776
13226,11823
13226,6239
13227,7400
13227,7396
13228,12032
13228,11137
13228,1506
13228,9798
13228,7432
13228,2186
13228,3595
13228,2219
13228,3661
13228,1518
13228,11980
13228,12205
13228,11733
13228,1527
13228,11896
13229,12021
13229,12023
13230,11488
13230,12001
13230,12482
13230,11939
13230,11012
13230,10853
13230,11878
13230,12266
13230,9163
13230,11884
13230,11212
13230,11859
13230,12468
13230,1656
13230,11903
13231,10650
13231,11221
13232,10598
13232,11450
13232,1834
13232,6029
13232,10554
13232,10494
13233,11874
13233,11652
13233,10597
13233,10535
13233,10567
13233,12402
13233,1653
13233,10519
13233,11389
13234,2369
13234,8106
13235,11326
13235,11230
13236,12115
13236,12510
13237,1649
13237,11371
13238,11793
13238,10413
13239,11448
13239,11449
13240,11872
13240,1668
13241,2883
13241,10654
13241,1479
13241,4618
13241,10739
13241,10837
13241,11838
13241,12319
13242,11690
13242,1662
13243,10944
13243,11001
13243,10982
13244,10942
13244,10983
13245,11764
13245,10999
13246,10987
13246,1580
13246,1645
13246,1677
13246,9166
13247,12352
13247,2278
13248,11704
13248,2275
13249,11241
13249,12186
13250,6960
13250,9852
13251,10434
13251,12296
13251,1836
13251,10446
13251,2098
13251,11795
13251,10451
13251,3315
13251,11325
13252,12250
13252,11210
13253,10352
13253,11987
13254,10626
13254,9965
13255,11833
13255,12291
13256,11840
13256,1647
13256,11671
13256,10648
13256,11673
13256,4538
13257,11681
13257,4962
13258,2633
13258,11667
13259,1534
13259,1495
13260,1446
13260,1438
13261,10329
13261,1473
13261,2338
13261,1733
13261,10441
13261,2026
13261,1746
13261,1465
13262,10462
13262,7431
13263,12265
13263,11819
13264,11235
13264,1892
13264,10033
13264,11285
13264,1431
13265,10051
13265,2716
13266,12034
13266,11588
13266,11562
13266,11531
13266,11628
13266,1650
13266,11863
13266,11549
13267,10530
13267,10532
13268,6272
13268,10290
13268,3020
13268,10062
13269,11394
13269,12386
13269,10539
13269,12334
13269,11413
13269,11739
13269,11743
13270,2628
13270,1445
13270,2439
13270,10439
13270,9931
13270,3180
13270,9935
13270,11056
13270,11216
13270,6224
13270,1871
13270,6265
13271,11154
13271,2981
13272,10265
13272,2458
13272,11550
13272,10271
13272,11689
13272,11692
13272,12214
13272,11387
13272,11217
13272,9939
13272,11348
13272,11351
13272,12249
13272,4958
13272,11232
13272,10985
13272,11245
13272,9972
13272,12405
13272,1525
13272,4218
13272,10235
13272,12287
13273,10385
13273,10383
13274,10244
13274,11435
13274,11442
13274,11443
13274,4083
13274,11420
13274,11422
13275,11364
13275,11719
13275,11694
13275,11343
13275,11322
13275,9694
13276,8359
13276,2295
13277,1644
13277,2394
13277,11183
13277,11186
13277,11924
13277,11190
13277,11192
13277,11194
13277,2395
13277,11196
13277,2397
13277,11198
13278,11188
13278,2396
13279,10630
13279,1934
13279,1678
13279,10000
13279,11302
13279,11698
13279,7743
13279,2752
13279,10442
13279,11338
13279,2132
13279,11861
13279,2148
13279,9833
13279,9967
13279,1520
13279,9968
13279,9970
13279,10487
13279,9980
13280,1536
13280,10436
13280,1968
13281,1974
13281,2607
13282,11237
13282,1870
13283,3284
13283,7428
13283,1461
13283,10431
13284,4072
13284,4065
13285,1915
13285,1564
13286,1600
13286,11244
13287,12283
13287,1661
13287,11294
13288,4080
13288,4081
13289,11366
13289,11337
13289,11318
13289,11703
13289,11993
13290,7944
13290,2448
13290,2191
13291,11361
13291,10724
13291,12197
13291,1676
13291,12243
13291,4533
13292,11761
13292,12036
13292,11758
13293,10681
13293,1700
13294,11010
13294,12483
13294,12486
13294,12489
13294,12171
13294,12492
13294,12174
13294,12495
13294,12498
13294,12502
13294,12121
13294,12154
13294,12507
13295,12184
13295,11383
13296,12224
13296,2401
13296,2402
13296,6467
13296,2408
13296,11180
13296,2414
13296,6033
13296,10642
13296,10643
13297,10593
13297,10623
13298,11753
13298,11755
13299,2398
13299,2407
13300,12218
13300,10614
13300,10331
13300,10334
13301,4530
13301,10603
13301,11686
13302,10613
13302,1695
13303,1664
13303,12101
13303,11589
13303,11700
13303,12411
13304,11803
13304,11789
13304,11790
13304,11791
13305,11276
13305,11303
13306,9921
13306,9987
13306,2183
13307,7738
13307,10279
13308,10282
13308,9958
13309,1625
13309,10933
13310,11497
13310,11493
13311,4616
13311,1709
13312,2305
13312,11501
13313,11867
13313,2405
13313,11815
13314,1585
13314,9811
13314,1467
13314,1574
13315,9925
13315,10280
13315,2126
13315,8110
13315,2417
13315,10937
13315,10268
13315,10233
13315,11775
13316,1537
13316,3094
13317,11332
13317,11334
13318,11073
13318,11059
13319,11089
13319,11131
13319,11110
13320,7997
13320,2198
13321,11572
13321,2199
13322,1472
13322,11330
13322,2416
13322,10072
13322,1981
13322,12222
13323,7281
13323,12206
13323,12207
13324,11817
13324,3668
13325,11832
13325,11816
13325,2067
13325,11831
13326,12211
13326,2124
13327,12424
13327,12426
13328,12165
13328,12397
13329,10241
13329,10242
13329,11460
13329,11463
13329,11467
13329,11478
13329,11479
13330,12293
13330,12166
13330,11593
13330,10953
13330,12079
13330,11889
