id,source_topic_id,target_topic_id,relationship_type,weight,supporting_article_count,link_count,created_at
132526,13218,13219,subtopic_of,0.25,0,0,2026-02-02 20:55:35.124707
132527,13218,13220,subtopic_of,0.5,0,0,2026-02-02 20:55:35.250057
132528,13218,13329,subtopic_of,0.5,0,0,2026-02-02 20:55:35.250325
132529,13222,13235,subtopic_of,0.5,0,0,2026-02-02 20:55:35.250585
132530,13222,13255,subtopic_of,0.5,0,0,2026-02-02 20:55:35.250823
132531,13223,13224,subtopic_of,0.6666667,0,0,2026-02-02 20:55:35.251053
132532,13241,13242,subtopic_of,0.5,0,0,2026-02-02 20:55:35.251299
132533,13241,13243,subtopic_of,0.5,0,0,2026-02-02 20:55:35.251519
132534,13241,13283,subtopic_of,0.33333334,0,0,2026-02-02 20:55:35.251786
132535,13241,13311,subtopic_of,0.5,0,0,2026-02-02 20:55:35.252016
132536,13241,13342,subtopic_of,0.5,0,0,2026-02-02 20:55:35.252315
132537,13244,13245,subtopic_of,0.5,0,0,2026-02-02 20:55:35.252531
132538,13248,13298,subtopic_of,0.6666667,0,0,2026-02-02 20:55:35.252741
132539,13249,13250,subtopic_of,0.5,0,0,2026-02-02 20:55:35.252965
132540,13249,13251,subtopic_of,0.5,0,0,2026-02-02 20:55:35.253213
132541,13249,13324,subtopic_of,0.5,0,0,2026-02-02 20:55:35.253492
132542,13249,13325,subtopic_of,0.33333334,0,0,2026-02-02 20:55:35.25374
132543,13256,13257,subtopic_of,0.5,0,0,2026-02-02 20:55:35.253983
132544,13256,13341,subtopic_of,0.5,0,0,2026-02-02 20:55:35.25423
132545,13260,13261,subtopic_of,0.5,0,0,2026-02-02 20:55:35.254441
132546,13264,13270,subtopic_of,0.5,0,0,2026-02-02 20:55:35.254668
132547,13268,13347,subtopic_of,0.5,0,0,2026-02-02 20:55:35.255056
132548,13271,13317,subtopic_of,0.6666667,0,0,2026-02-02 20:55:35.255257
132549,13272,13279,subtopic_of,0.5,0,0,2026-02-02 20:55:35.255459
132550,13272,13317,subtopic_of,0.33333334,0,0,2026-02-02 20:55:35.255662
132551,13275,13290,subtopic_of,0.5,0,0,2026-02-02 20:55:35.255866
132552,13277,13278,subtopic_of,0.5,0,0,2026-02-02 20:55:35.25606
132553,13280,13281,subtopic_of,0.5,0,0,2026-02-02 20:55:35.256261
132554,13280,13306,subtopic_of,0.5,0,0,2026-02-02 20:55:35.256469
132555,13280,13307,subtopic_of,0.5,0,0,2026-02-02 20:55:35.25667
132556,13280,13308,subtopic_of,0.5,0,0,2026-02-02 20:55:35.256867
132557,13286,13347,subtopic_of,0.5,0,0,2026-02-02 20:55:35.257082
132558,13289,13331,subtopic_of,0.33333334,0,0,2026-02-02 20:55:35.25729
132559,13297,13298,subtopic_of,0.33333334,0,0,2026-02-02 20:55:35.257492
132560,13297,13299,subtopic_of,0.5,0,0,2026-02-02 20:55:35.257714
132561,13297,13300,subtopic_of,0.5,0,0,2026-02-02 20:55:35.257948
132562,13303,13304,subtopic_of,0.33333334,0,0,2026-02-02 20:55:35.258147
132563,13322,13323,subtopic_of,0.5,0,0,2026-02-02 20:55:35.258362
132564,13322,13324,subtopic_of,0.5,0,0,2026-02-02 20:55:35.258573
132565,13322,13325,subtopic_of,0.33333334,0,0,2026-02-02 20:55:35.258792
132566,13322,13326,subtopic_of,0.5,0,0,2026-02-02 20:55:35.259015
132567,13324,13325,subtopic_of,0.6666667,0,0,2026-02-02 20:55:35.259258
132568,13333,13334,subtopic_of,0.5,0,0,2026-02-02 20:55:35.259528
132569,13291,13225,prerequisite_of,0.2,1,0,2026-02-02 20:55:35.259792
132570,13222,13232,prerequisite_of,0.4,2,0,2026-02-02 20:55:35.260028
132571,13260,13240,prerequisite_of,0.2,1,0,2026-02-02 20:55:35.260264
132572,13321,13241,prerequisite_of,0.2,1,0,2026-02-02 20:55:35.260503
132573,13255,13256,prerequisite_of,0.6,3,0,2026-02-02 20:55:35.26073
132574,13223,13223,prerequisite_of,0.2,1,0,2026-02-02 20:55:35.26097
132575,13269,13269,prerequisite_of,0.2,1,0,2026-02-02 20:55:35.261405
132576,13270,13270,prerequisite_of,0.4,2,0,2026-02-02 20:55:35.261637
132577,13274,13274,prerequisite_of,0.2,1,0,2026-02-02 20:55:35.261883
132578,13221,13335,related_to,0.5,0,5,2026-02-02 20:55:35.262114
132579,13221,13256,related_to,0.4,0,4,2026-02-02 20:55:35.262351
132580,13223,13335,related_to,0.4,0,4,2026-02-02 20:55:35.262594
132581,13223,13286,related_to,0.4,0,4,2026-02-02 20:55:35.262833
132582,13224,13286,related_to,0.3,0,3,2026-02-02 20:55:35.263072
132583,13224,13335,related_to,0.3,0,3,2026-02-02 20:55:35.263294
132584,13225,13335,related_to,0.3,0,3,2026-02-02 20:55:35.263529
